vertices,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,11745,1360,0,45,0,0,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,18095,1936,0,55,0,0,0,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,27126,2685,0,66,0,0,0,0,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,39663,3640,0,78,0,0,0,0,0,858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,56693,4837,0,91,0,0,0,0,0,0,1092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,79380,6315,0,105,0,0,0,0,0,0,0,1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,538461,28435,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
